Estimate Item,Bid Tab Count,Project EAN,Raw Bid Tab Item Description
560620 Reflective Media,7,2018D027; 2018D029; 2021D017; 2022D027; 2022D028; 2023D018,Surface Preparation - Remove Existing Markings (Item P-620)
560620 Reflective Media,1,2019D031,SurfacePreparation-NewPavementSurface (ItemP-620)
560620 Reflective Media,1,2019D031,SurfacePreparation-RemoveExistingMarkings (ItemP-620)
560620 Temporary Pavement Marking,1,2018D029,Temporary Marking (Item P-620)
560620 Temporary Pavement Marking,2,2023D011,Temporary Pavement Marking (Item P-620)
560620 Temporary Pavement Marking,1,2021D017,Temporary Pavement Markings (Item P-620)
560620 Temporary Pavement Marking,1,2020D022,Temporary Runway and Taxiway Makrings (Item P-620)
560620 Temporary Pavement Marking,8,2018D027; 2022D028; 2023D016; 2023D018; 2023D025,Temporary Runway and Taxiway Marking (Item P-620)
560620 Temporary Pavement Marking,1,2019D031,TemporaryRunwayandTaxiwayMarking (ItemP-620)
560621 Pavement Grooving,2,2015D142; 2022D028,Grooving (Item P-621)
560621 Pavement Grooving,1,2015D147,Saw-Cut Grooving (Item P-621)
580701 XX-inch XX Pipe,2,2015D142; 2015D147,12-Inch RCP Pipe (Item D-701)
580701 XX-inch XX Pipe,4,2018D027; 2018D029; 2022D028,12-Inch STS (Item D-701)
580701 XX-inch XX Pipe,3,2015D142; 2015D147; 2017D013,12-Inch STS Pipe (Item D-701)
580701 XX-inch XX Pipe,1,2018D029,12-Inch Slide Gate (Item D-701)
580701 XX-inch XX Pipe,1,2023D016,12-Inch Storm Sewer Pipe (Item D-701)
580701 XX-inch XX Pipe,1,2019D031,12-inchSTS (ItemD-701)
580701 XX-inch XX Pipe,1,2019D031,14-inchClass50DuctileIronPipeCulvert(ItemD-701)
580701 XX-inch XX Pipe,3,2018D027; 2018D029,15-Inch STS (Item D-701)
580701 XX-inch XX Pipe,1,2018D029,15-Inch Slide Gate (Item D-701)
580701 XX-inch XX Pipe,1,2023D016,15-Inch Storm Sewer Pipe (Item D-701)
580701 XX-inch XX Pipe,3,2018D027; 2018D029; 2022D028,18-Inch STS (Item D-701)
580701 XX-inch XX Pipe,1,2015D147,18-Inch STS Pipe (Item D-701)
580701 XX-inch XX Pipe,1,2023D016,18-Inch Storm Sewer Pipe (Item D-701)
580701 XX-inch XX Pipe,1,2019D031,18-inchClass50DuctileIronPipeCulvert (ItemD-701)
580701 XX-inch XX Pipe,2,2015D142; 2015D147,24-Inch RCP Pipe (Item D-701)
580701 XX-inch XX Pipe,2,2018D027; 2018D029,24-Inch STS (Item D-701)
580701 XX-inch XX Pipe,2,2015D147; 2017D013,24-Inch STS Pipe (Item D-701)
580701 XX-inch XX Pipe,1,2019D031,24-inchSTS (ItemD-701)
580701 XX-inch XX Pipe,1,2018D027,30-Inch STS (Item D-701)
580701 XX-inch XX Pipe,1,2017D013,30-Inch STS Pipe (Item D-701)
580701 XX-inch XX Pipe,1,2018D029,30-Inch Slide Gate (Item D-701)
580701 XX-inch XX Pipe,1,2018D027,36-Inch STS (Item D-701)
580701 XX-inch XX Pipe,2,2015D147; 2017D013,4-Inch STS Pipe (Item D-701)
580701 XX-inch XX Pipe,3,2015D142; 2015D147; 2017D013,48-Inch STS Pipe (Item D-701)
580701 XX-inch XX Pipe,2,2015D147; 2017D013,6-Inch STS Pipe (Item D-701)
