pay_item_id,item_code_raw,item_code_norm,section_code_raw,section_code_norm,item_desc_canonical
107417279247577,P-101,P-101,,,Asphalt Pavement Removal - 3-5 Inch Depth (Item P-101)
108031724503182,,,012200,012200,B6 Valve Vault (SSVLT 1202) Mechanical Rehabilitation (Section 012200)
108184954988165,D-751,D-751,,,84-Inch Diameter Manhole (Item D-751)
108342438794922,L-110,L-110,,,2-Inch PVC in New Shoulder and Direct Buried (Item L-110)
109086583212080,,,344300,344300,Install PF Taxiway Centerline Light with PF Remote and CF Transformer on Existing Light Base (Section 344300)
109123069954514,,,,,Boulders (Section354000)
109441880482582,,,,,Modified Concrete Curb and Gutter
109613425430886,,,,,GroundRodforCounterpoise (ItemL-108)
109974462499432,P-152,P-152,,,Separation Geotextile (Item P-152)
110305523179878,,,,,Remove and Replace Compression Seal
110522572072588,,,,,Contaminated Soil Sediment Excavation and Disposal
110974847193466,P-101,P-101,,,Asphalt Pavement Removal - 15-Inch Depth (Item P-101)
111167949771330,,,,,Vault (Power) - 776-TRANS-PCORP
111548374202260,,,,,Clearing and Grubbing
112062485778895,,,344301,344301,Adjust Existing Base Can to New Finish Elevation (Section 344301)
112291848155280,P-101,P-101,,,Removal of Pipe and other Buried Structures (Item P-101)
112793397259943,,,,,Connection to Existing Utility
113199673425409,,,,,"InstallPFLEDElevatedRunwayGuardLightwithPFBaseCan,CFTransformerinNewACPShoulder(Section344300)"
113304810836588,,,,,Reinforced Concrete Pad
113308752853016,,,,,"Panelboard - 240/120V, 100A, 1-Phase, NEMA 3R"
113420019546208,,,344300,344300,Install PF In-Pavement Runway Edge Light with CF Transformer on Existing Light Base (Section 344300)
113609280223546,,,260500,260500,Electrical Equipment Rack - Load Share Connected (Section 260500)
114160747164049,,,344300,344300,"Reinstall Elevated LED Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring, and CF Transformer (Section 344300)"
114847687954238,,,312300,312300,Sanitary Sewer Wet Well Removal (Section 312300)
115005660444072,P-501,P-501,,,19-Inch Thick Concrete Pavement (Item P-501)
115858249238287,,,331116,331116,8-Inch Gate Valve (Section 331116)
115886615125111,,,,,Electrical Feeder Conductor Assembly
116439364382849,P-620,P-620,,,Surface Preparation - Marking Removal (Item P-620)
116513855048865,P-101,P-101,,,Cold Milling 3-Inch Depth (Item P-101)
116653121199865,D-701,D-701,,,12-Inch STS (Item D-701)
117533187156418,,,,,Deck Crack Repair
118937635031728,,,,,Asphalt Sawcut
118949907665667,L-110,L-110,,,2-Inch PVC Direct Buried (Item L-110)
119070000224927,,,,,Kennedy Feeder Point-of-Service Access Pad
119577379013470,,,,,"Mobilization, Cleanup, and Demobilization"
120155957965708,P-501,P-501,,,15-Inch Thick Concrete Pavement (Item P-501)
120288224881689,,,,,Concrete Pad Demolition and Repair
120553206826415,,,344302,344302,Sign A6-12 (Section 344302)
120578629736626,,,,,Hand Rail
120842497908222,P-101,P-101,,,Asphalt Pavement Removal - 5-Inch Depth (Item P-101)
121117014174985,,,344302,344302,Sign A6-10 (Section 344302)
121221066137400,,,347113,347113,Pipe Bollards (Section 347113)
121380721774637,,,,,Seeding (Sections 012200 and 329219)
121429672332530,,,,,Signage
121539492340811,,,,,"InstallPFLEDRunwayEdgeLightwithPFBaseCan,CFTransformerinNewACPShoulder (Section344300)"
121787385389872,D-701,D-701,,,18-Inch STS (Item D-701)
122874012243429,,,344300,344300,Reinstall Taxiway Centerline Light on Existing Base Can with CF Transformer (Section 344300)
122978394870433,,,344300,344300,"Install Taxiway Edge Light on PF Base Can, PF Extension, PF Flange Ring and CF Transformer (Section 344300)"
123313062984899,,,,,120-Inch Manhole
123626235047998,,,012200,012200,"PCC Crack Repair, Renewal (Section 012200)"
123692550529413,,,012200,012200,Contaminated Soil Handling and Management (Section 012200)
123752002675218,P-604,P-604,,,Compression Joint Seals for Concrete Pavement (Item P-604)
123838165716126,,,012200,012200,B6 Wet Well (SSLS 950) Mechanical Rehabilitation (Section 012200)
124386438131441,,,,,"Loose Riprap, Class 50"
124832552534339,,,,,Concrete Sidewalk
125043929419508,,,,,Metalizing Repairs
125851928792862,,,,,6-InchPipeUnderdrains (ItemD-705)
125906616162031,T-901,T-901,,,Seeding (Item T-901)
127240799161354,D-701,D-701,,,15-Inch STS (Item D-701)
